game_title,region,title_id,url
Ace Combat: Joint Assault,EU,ULES01408,http://zeus.dl.playstation.net/cdn/EP0700/ULES01408_00/h4bkwqGc3nKpHb43XIPmmNYsgiH9RGH62MgkiDU8DjR53v11HTIT6mBfAXxF2NpM.pkg
Activision Hits Remixed,US,ULUS10186,http://zeus.dl.playstation.net/cdn/UP0002/ULUS10186_00/R4XDLkQT23qOQ9tVABplwmML3OMVpUXx05fKj80qWosXW1dYAmIt5A2tAJ7JTjerPJIY6G2cauKHEw8M4DsMRiPpxaEcyW5O8KxpX.pkg
Actual Crimes: Jack the Ripper (Minis),EU,NPEZ00216,http://zeus.dl.playstation.net/cdn/EP4119/NPEZ00216_00/yqle5FEulTUcpidsTaX5DYYj30Aug7ubDI9nFxYj6vQ5GK2P9ehIcKDl1puHl2qb.pkg
Actual Crimes: Jack The Ripper (Minis),US,NPUZ00110,http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00110_00/Nq71xE96rCqOeyX5HX9MOA4UW7gyOTG2IMrYUJNTcu9hsbPMsOyUSBPNMvgedhe185T7YAF67j1XngKeykg9QLDkW1Iy7Oegdomni.pkg
Adventures To Go!,US,ULUS10417,http://zeus.dl.playstation.net/cdn/UP1014/ULUS10417_00/dFnPL5sWiRLY1311VFyhK0qrW5vEaN43phH41iGx04uQjQFq1Yg4cnBFvnjt0lv0HggWcsAJHelKBs6cWJDWWjXC2BlEd3yfXPwkm.pkg
Aedis Eclipse: Generation of Chaos,US,ULUS10242,http://zeus.dl.playstation.net/cdn/UP1063/ULUS10242_00/tddr9oHkCNHhkwTa69lIQEixktYOMshVmjvAyyPvoJA4dGNVDu6rIOJxGjHXX6vxCvBD3HpEBDbW0TIiQknOYb5qBfeg0BlrY2TW0.pkg
Aedis Eclipse: Generation of Chaos,EU,NPEH00106,http://zeus.dl.playstation.net/cdn/EP4015/NPEH00106_00/FxdWABPGLzUlwfNGjxSASHOQkKfLHFaiBkKxlwuxONNJnCjyFSebQEHpTZcFwdhS.pkg
Aero Racer (Minis),EU,NPEZ00043,http://zeus.dl.playstation.net/cdn/EP4043/NPEZ00043_00/4hhsnDFo3r9WaO4Jv9t2p0G1XdREFwKvGNG4avC852TfTLmTRcbQTRO7br4ni18ERv2DC8RlRXLE1yAferNVGca6YPrwSpUq6sSYp.pkg
Aero Racer (Minis),US,NPUZ00023,http://zeus.dl.playstation.net/cdn/UP4043/NPUZ00023_00/fCswKvRPA1hlBjDJqHyuqxEHwYrsqN5oigiJOqxneVKdTowTfbX8hyNnHGMiwv0qGFYONw2fVlflBubuUeExD18ypucNnvmpQ3Yo8.pkg
AFL Challenge,EU,NPEH00022,http://zeus.dl.playstation.net/cdn/EP4116/NPEH00022_00/LrnRpsbYXOdMPGsnGOvLbF1xxspMaV3WQ8e6QJxVX5fP7Xk0p7xnMETTshDbGjqM1TTLmJXTFv501fRXexnGQavmCFccXYqREl4vq.pkg
After Burner: Black Falcon,US,ULUS10244,http://zeus.dl.playstation.net/cdn/UP0177/ULUS10244_00/CPPsJpVUrIgi05lNS8FcrBmgeDvfaiPnNAmlGNowoO2nBprC4dfof1eSlNg5XCg3lYJPJmq43nRmgt8llsQCduKK34SC65LkcgeAl.pkg
Age of Hammer Wars (Minis),EU,NPEZ00142,http://zeus.dl.playstation.net/cdn/EP4118/NPEZ00142_00/O149TKaCH79Aiu0gKemsswrnH6iT5yuOX4NehD2NBGjk4F8v9Rx1HU272cSox6u9.pkg
Age of Hammer Wars (Minis),US,NPUZ00178,http://zeus.dl.playstation.net/cdn/UP4118/NPUZ00178_00/XLo6n52onMDts8WXP1yeEb99HQeqqYvH11HcrRN4UcVYHbYw1UAIhXUnOHg13fi7y10KGK9qFtMOoK6EtA2BQ7TCKjYfnVCGyAYLY.pkg
Age of Zombies (Minis),EU,NPEZ00044,http://zeus.dl.playstation.net/cdn/EP4043/NPEZ00044_00/UIdMn3jsyOxn6tDUxcNFSubfwnT5rdbPAJOlgOUteQtvav75YNpV4h686WYiNw4oaYoFbXMn9gohEN64D3kBiM1Nl4ShRHobHwKhr.pkg
Age of Zombies (Minis),US,NPUZ00024,http://zeus.dl.playstation.net/cdn/UP4043/NPUZ00024_00/RAcdjOIO8jPP1vwNwUwqDkkrOMeLAkr4sKY80GsM7KsbramVuIABplxXmjCSQOWoVJxddcomaqNLwqq6JxS1oFYhkx77YhfbarmHf.pkg
AIR,JP,NPJH50337,http://zeus.dl.playstation.net/cdn/JP0548/NPJH50337_00/hVNg2KseM2HHK2NRO68QJLvG4QAFX7tBRdrvu6inkTr37HfpWpXJi32Chk2L0DAjNviCjTnXKr6mJJD1fIqi9479JS8rldXh5n1GG.pkg
Akiba's Trip Plus,JP,NPJH50563,http://zeus.dl.playstation.net/cdn/JP0048/NPJH50563_00/qVLKMkSIgKNKNlyumrzopXbuxiFPdvogavtzOjcoyWMKFqzJaNWmRfZWDsqrhgjztmNrfFErvEFezTDLZeVUNhKUVOLvrjGrvHinS.pkg
Akumajou Dracula: X Chronicle,JP,NPJH50028,http://zeus.dl.playstation.net/cdn/JP0101/NPJH50028_00/iB2hStvrw8cktnlivUBB7ELBR2h53AkYehG1N7nS2Kb99HapLgj3oSaIqFJ5FfpnYiAQcVUQq80uR9RjvoREe3hKetllongN9iy9X.pkg
Aldynes: The Mission Code for Rage Crisis (PCEngine),JP,NPJJ30041,http://zeus.dl.playstation.net/cdn/JP0555/NPJJ30041_00/IXKwfHJWkjubLnIzkqEvBgvjyeXRjtqofKGmNVzWoeeuXCMXOLwiiXOuzvIcNsNKbOioRlaTiEccWSTnxRXJagICAgXSNNCQniYsX.pkg
Alien Crush (PCEngine),JP,NPJJ30019,http://zeus.dl.playstation.net/cdn/JP0555/NPJJ30019_00/9b2jkkcA9b6vDxTAICdv8228r2F7InB1KV6VdVcuLarNuFqjOt6psshPYyWIElObJ5tA3jALRwBvh7K8QOu3iYXLgJIcXRd6NTHce.pkg
Alien Crush (PCEngine),US,NPUF30008,http://zeus.dl.playstation.net/cdn/UP0555/NPUF30008_00/IXqLdAjXxARjwkNbmgIikLMUYbgIDsGOEUjinINtMrSMrztIpQAUiVblqECEdFyobYWfEmbuhqwciDHVZHoBcchOwXYIQcTpKicBk.pkg
Alien Havoc (Minis),EU,NPEZ00025,http://zeus.dl.playstation.net/cdn/EP4073/NPEZ00025_00/x55NdgG3BVsduNUyrktTViBKWuRecsW556Av10LrmVLLrpyjGhoRT3wsC7df7HsJjgbviMDugsE5gJfeWMhNiAnI0Wgse9JX40UDR.pkg
Alien Havoc (Minis),US,NPUZ00008,http://zeus.dl.playstation.net/cdn/UP4073/NPUZ00008_00/AlR7f97l0ksQoM8tGeqAIXJEO5qPikDPFLPANDRndr1w5iqr9MN96Cu7ldcv1chWLgm7XPSW64OcXcQXhndMR6aW2JLhv7jGL2ioH.pkg
Alien Syndrome,US,ULUS10245,http://zeus.dl.playstation.net/cdn/UP0177/ULUS10245_00/pr3udgAsy34eU1BBQjXYLtb1BSWx2oYfaeTYkikVxDejnIKBVaJLAFlYS4g8wec6IErKOn25hvhT5QFPsSTyfSfqBb6jopxOBYojh.pkg
Alien Zombie Death (Minis),EU,NPEZ00115,http://zeus.dl.playstation.net/cdn/EP4052/NPEZ00115_00/4oHI6b0XOJglPGy65AhIlOTBSLn6kwbNB4T6fkyRSbbmec1bOc0YTE7ggd77VPrmD0HaHMGIeQLt6byhI50dBVPyNxITGKURORLQv.pkg
Alien Zombie Death (Minis),US,NPUZ00069,http://zeus.dl.playstation.net/cdn/UP4052/NPUZ00069_00/nvo4Q5n4u72gqrb3USoMgqO8YnqA5FRP81aA6Rq8s5xpcMNkdETiEJlxgL2S9Tw4sPMVhYogDBbygE2M95SkUufJI09jdy5SYryBM.pkg
Alpha Mission (Minis),EU,NPEZ00249,http://zeus.dl.playstation.net/cdn/EP0576/NPEZ00249_00/aHFurYfoAIOpyCAPbyGqNaQEFryuwZPDRUxpusFouSATVygTxPqHIZASCSbNkAdS.pkg
Alpha Mission (Minis),US,NPUZ00133,http://zeus.dl.playstation.net/cdn/UP0576/NPUZ00133_00/gngBCFIPtLopKuEQJNwWaLRWtwyFsJzZWSrIMhuvvQJqpMEyTydtKAWiwdCiyZoXNwPcAvSsWsOmtxakTzsePSSUgQVermBnznYqu.pkg
Alpha Mission II (NeoGeo Station),EU,NPEH00050,http://zeus.dl.playstation.net/cdn/EP0576/NPEH00050_00/jtFCnGkdLKCjFtncmtyiHcHBuLSZaAwTCaXlskmRFPXCljWxFBVqZzfqczdOZlun.pkg
Alpha Mission II (NeoGeo Station),US,NPUH10060,http://zeus.dl.playstation.net/cdn/UP0576/NPUH10060_00/dyHRWjnvmGcCwAoujPAXgumOkDGBKQrfxRMRFhslNfzlRcVwxGfDXOuACofMslYKuPqIHUDrgbgYaOsJtQrBKGvraFGnGxDWaBxDW.pkg
Ambassador Kane (Minis),EU,NPEZ00372,http://zeus.dl.playstation.net/cdn/EP4170/NPEZ00372_00/DWBkksCmLEgOnJNgdvAlKRxrnXpEZrWdomnoPxVOgkmsYgctsvJQIKVQZqOyKbgk.pkg
Ancient Game Treasures: Mill (Minis),US,NPUZ00202,http://zeus.dl.playstation.net/cdn/UP2033/NPUZ00202_00/zfJzTQaEyDrquZlHRKrYNnOjGEcXzeHbWxdcJAIemItWrSlaSQbbbsskhcrQvdiWeIUFLfxYLIdDODbpViMONicMPZFqXplWMpIan.pkg
Angry Birds (Chillingo Ltd) (Minis),EU,NPEZ00232,http://zeus.dl.playstation.net/cdn/EP4123/NPEZ00232_00/jqzoHimMjVBPCZJcQYfjwInccGmfWXtNTfShWnKJkhUoamgADGSJnfWsnBGuGxjM.pkg
Angry Birds (Chillingo Ltd) (Minis),EU,NPEZ00232,http://zeus.dl.playstation.net/cdn/EP4123/NPEZ00232_00/utMtULTBNJKYykGeklohDTmxYoSIssMlHkuVLarUDlbnRTJDEIHinIWljPMZHDrx.pkg
Angry Birds (Chillingo Ltd) (Minis),US,NPUZ00119,http://zeus.dl.playstation.net/cdn/UP4123/NPUZ00119_00/NxVLvCYVmRedPYfdKpiDCJcxAbfPeUlZsdTHkwopcCCsFHlAvDchUivyDAFYaVvYnlPrypLsMaZDIPmNgVloZFLvfEImVbOeglHLX.pkg
Angry Birds (Rovio Mobile) (Minis),EU,NPEZ00366,http://zeus.dl.playstation.net/cdn/EP4329/NPEZ00366_00/SDqYyTtlmMQqbpzIxYZmphnheNLuvOmLjZEurGJhSGRuqZKUptwMBbUtSHmdMhiz.pkg
Angry Birds (v2),US,NPUZ00241,http://zeus.dl.playstation.net/cdn/UP4329/NPUZ00241_00/fhXBrQuZNJHlaPxyFrhrZvGWhgFFtcSNDXzooFRxdRieJENTuKnOEnpFVlfRcBgdQhiHktkCVFwZatKMfSnUAgZwDfYOGtZvRYyxS.pkg
Angus hates Aliens (Minis),EU,NPEZ00475,http://zeus.dl.playstation.net/cdn/EP4357/NPEZ00475_00/EP4357-NPEZ00475_00-ANGUSHATESALIENS_bg_3_c6a5965e54bda29051fe679832be3eec925ac4bd.pkg
Angus Hates Aliens (Minis),US,NPUZ00374,http://zeus.dl.playstation.net/cdn/UP0957/NPUZ00374_00/UP0957-NPUZ00374_00-ANGUSHATESALIENS_bg_1_71bf00a21e7926dd8d49ce2b39174fe906eb0241.pkg
Apache Overkill (Minis),EU,NPEZ00184,http://zeus.dl.playstation.net/cdn/EP4093/NPEZ00184_00/NmQyQlrrfjCkm1BoRxOMqKRoLXqPgt24vEf5WN8X4mYkJhKdg3vdsXhrqvOtgwhs.pkg
Apache Overkill (Minis),US,NPUZ00098,http://zeus.dl.playstation.net/cdn/UP4093/NPUZ00098_00/r55LAo9QSbT19FQqgA3KquckLGBevanF49t37CtyUNEst1kmsxciE2aTQU6DgjYF5oX7xVoeelpLsqlGLRRYjMiAWuOi2GNsXnuMc.pkg
Ape Academy,EU,UCES00010,http://zeus.dl.playstation.net/cdn/EP9000/UCES00010_00/sbrvpi7HIA6bDvTh1CgdEgRLSX1IsrF5ut1sj90D7d38dVx9R6hIOPCkj1OpSsnCYGX6s36tytC9nVUh4nRXeA9SOAngHbcVdv1qQ.pkg
Ape Academy 2,EU,UCES00302,http://zeus.dl.playstation.net/cdn/EP9000/UCES00302_00/uS8hesiMKb9kAIOsdh0NC4L9aTPmyvJXLb8wPR7CYBvnSuvMuHs9gefBjorBc2kHgAYmhrEgqWkmIlRIJFD1x8uQAKqprAs2aT1cX.pkg
Ape Escape - On The Loose,US,UCUS98609,http://zeus.dl.playstation.net/cdn/UP9000/UCUS98609_00/BYg9DfvO04LsJ70DgtHuu4AFuf6QOOV4Mx1YUR66FYqYrQXidOx7qjp65FDr1Je0mVydYDqNTe4K1I9e0EQPGIuDv3WdFLWPopAxS.pkg
Ape Escape P,EU,UCES00045,http://zeus.dl.playstation.net/cdn/EP9000/UCES00045_00/PM1eVx3JOUyrkiDHbsqFMwR0VrJ0FAm3udYLYhtfxFlNlpQ0LkQjKspSpEIfyxAKKvqyTNYRyawroFS9EwPCYDLNBk33BUhAq7hYI.pkg
Ape Quest,AS,NPHG00001,http://zeus.dl.playstation.net/cdn/HP9000/NPHG00001_00/tNCond0MvX0DDJ9V7OfydIWBQkmmXX9fJS7q7X5RYTcXJSvWpCOlJyUFGFyCBVDuh0AHmgqKGPn8gfU61ouP0uYHQAxgUXLvsm1Tx.pkg
Ape Quest (Demo),EU,NPEG00005,http://zeus.dl.playstation.net/cdn/EP9000/NPEG00005_00/cCC53YedwIstMh54hhulsqmHmlLCMr4He9aKSNFGRTDNGvcUgcqpqbAcFU25tJC8PN1ksFVqlErDjeHYyijpCfqHD5WSAu6qqEDlt.pkg
Ape Quest (Demo),US,NPUG80061,http://zeus.dl.playstation.net/cdn/UP9000/NPUG80061_00/bvbD25XkEO4fW2aguCJuBhbBhkdWXdFcrJlhMF69hxPSq33eS9LevTh6dYpn7ORNCNUurWxCFdbW2RrhOUmoOw6RcBu1qGVCWpfUC.pkg
Aquattack! (Minis),EU,NPEZ00202,http://zeus.dl.playstation.net/cdn/EP4166/NPEZ00202_00/UNcPQXjuNLdHCuQwRApqh3cds9ilwl1XcgcePSX3J8CR3aDq4pkyI1grJHb18GqeojB61IHawLsfOvfxWwFVbLTu5fMLGd74QWBum.pkg
Aquattack! (Minis),US,NPUZ00182,http://zeus.dl.playstation.net/cdn/UP1021/NPUZ00182_00/MKtwstWzFYICGhRWTldPcJYTkBhzLnaOLvhJpwMnsxqrjLhnQyhgnZtAkJMZcRBARhqWHjwRBobbBZPgwvkpzSagqTfDteKpYZEuq.pkg
Arcade Air Hockey & Bowling (Minis),EU,NPEZ00054,http://zeus.dl.playstation.net/cdn/EP4090/NPEZ00054_00/hquqRJPoX79JEJ6mL6gqM41pEX6KWkDywGTKwJ55bYPPnLeVNdu1Mn2GLdnBJ4cP.pkg
Arcade Air Hockey & Bowling (Minis),US,NPUZ00103,http://zeus.dl.playstation.net/cdn/UP4090/NPUZ00103_00/5T0h9FsNmvpNwn9w8N3lBSs2pbGl8Sy3Rbsov8899kIgKkI1V93a0WQffbPye0kJrPOk4Rn0fggf8h6aAhSy1aQ2bor3hMNf70JwX.pkg
Arcade Darts (Minis),EU,NPEZ00053,http://zeus.dl.playstation.net/cdn/EP4090/NPEZ00053_00/Cd5XCfU5hOMd13hkmlHDDmGNTYcr3K68v10DKQnrRUXv5hkLGvp83L5K4G9Uha9IhKw5bge0NkOR1yHFfHiwexeF1LRMT6qncv7s5.pkg
Arcade Darts (Minis),US,NPUZ00097,http://zeus.dl.playstation.net/cdn/UP4090/NPUZ00097_00/lYTjEbDAkRo1L1vVwsKeG0YdxG2hEvWQ6cEK5NpvR9xD2xRIJBS3YcT7SDrAHweSqpWwBbNvdDhRBMuT0oEIlqPGEANuIIcqxUbmk.pkg
Arcade Essentials (Minis),EU,NPEZ00204,http://zeus.dl.playstation.net/cdn/EP4069/NPEZ00204_00/dOmZufUrpkrUKnAbWsvtGINoMdvNovlgWaaNZBzOGhrhAhidGscYYwMThzQemtPJ.pkg
Arcade Essentials (Minis),US,NPUZ00116,http://zeus.dl.playstation.net/cdn/UP4069/NPUZ00116_00/KqxmsGSVNkZBwnvsCYzFAHuDnKDTlRTjLXJOTMfSOndQEPoXitYxAohvThfxKxkJhfpovnpCCELQokKynQqANJeTuFcOCUtwlXEzs.pkg
Arcade Essentials Evolution (Minis),EU,NPEZ00405,http://zeus.dl.playstation.net/cdn/EP4069/NPEZ00405_00/ZwEElRpmWjWnWLGEUdxmKrrBulqphzOSoxnhnOPIINgaIJAcsUgmdCdtWoUYairT.pkg
