title_id,game_title,region,version,url,content_id,platform,distribution,content_type
FVGK0022,SKIP BEAT! [LIMITED EDITION],JP,1.00,,FVGK-0022,PS2,DISC,GAME
FVGK0024,MEMORIES OFF #6 - NEXT RELATION [LIMITED EDITION],JP,1.00,,FVGK-0024,PS2,DISC,GAME
FVGK0026,LUCIAN BEE'S - RESURRECTION SUPERNOVA [LIMITED EDITION],JP,1.00,,FVGK-0026,PS2,DISC,GAME
FVGK0037,Lucian Bee's - Justice Yellow (Limited Edition),JP,1.00,,FVGK-0037,PS2,DISC,GAME
FVGK0038,LUCIAN BEE'S - EVIL VIOLET [LIMITED EDITION],JP,1.00,,FVGK-0038,PS2,DISC,GAME
GN04003,Komorebi no Namikimichi - Utsurikawaru Kisetsu no Chuu de (Limited Edition),JP,1.00,,GN-04003,PS2,DISC,GAME
GN04005,APOCRIPHA/0 [LIMITED EDITION],JP,1.00,,GN-04005,PS2,DISC,GAME
GN05009,ANGEL'S FEATHER - KURO NO ZANEI [LIMITED EDITION],JP,1.00,,GN-05009,PS2,DISC,GAME
GN05011,LIKE LIFE AN HOUR [FIRST PRINT LIMITED EDITION],JP,1.00,,GN-05011,PS2,DISC,GAME
GN05013,IZUMO 2 [FIRST PRINT LIMITED EDITION],JP,1.00,,GN-05013,PS2,DISC,GAME
GN05015,I/O [FIRST PRINT LIMITED EDITION],JP,1.00,,GN-05015,PS2,DISC,GAME
GN06017,_SUMMER ## [FIRST PRINT LIMITED EDITION],JP,1.00,,GN-06017,PS2,DISC,GAME
GN07021,MAJOKKO A LA MODE II - HIKARI TO YAMI NO ETRANGER [LIMITED EDITION],JP,1.00,,GN-07021,PS2,DISC,GAME
GN08023,AKANE IRO NI SOMARU SAKA - PARALLEL [LIMITED EDITION],JP,1.00,,GN-08023,PS2,DISC,GAME
GN08025,Izumo 2 - Gakuen Kyousoukyoku - Double Tact (Limited Edition),JP,1.00,,GN-08025,PS2,DISC,GAME
GN09029,PIA CARROT E YOUKOSO!! G.P. GAKUEN PRINCESS [DELUXE PACK],JP,1.00,,GN-09029,PS2,DISC,GAME
GUST00001,Judie no Atelier - Gramnad no Renkinjutsush (Premium Box),JP,1.00,,GUST-00001,PS2,DISC,GAME
GUST00002,Viorate no Atelier - The Alchemist of Gramnad (Limited Edition),JP,1.00,,GUST-00002,PS2,DISC,GAME
