titleId,final_gameTitle,final_url,final_contentId,final_has_content_id,col_gameTitle,dump_gameTitle,col_region_source,dump_region_source,col_platform,dump_platform,col_distribution,dump_distribution,distribution_same,col_content_type,dump_content_type,content_type_same,col_url,dump_url,dump_unlock_model,dump_unlock_group,dump_contentId
NPUB30719,Black Knight Sword,http://zeus.dl.playstation.net/cdn/UP4175/NPUB30719_00/efUYgerkTorMZmndEpCoMPULbgNebNpJpSwYwlPMhMzOQYUaXItEcrYBoEjGnGif.pkg,,NO,Black Knight Sword,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP4175/NPUB30719_00/efUYgerkTorMZmndEpCoMPULbgNebNpJpSwYwlPMhMzOQYUaXItEcrYBoEjGnGif.pkg,,,,
NPUB30720,Okami HD,http://zeus.dl.playstation.net/cdn/UP0102/NPUB30720_00/xCpOoHcXQLJhMdFoTIIMLfsSSrolTbYvlQUzngaxmVbsxHVgsfYcsvdLdSKluYjo.pkg,UP0102-NPUB30720_00-0000000000000000,YES,Okami HD,Okami HD,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,http://zeus.dl.playstation.net/cdn/UP0102/NPUB30720_00/xCpOoHcXQLJhMdFoTIIMLfsSSrolTbYvlQUzngaxmVbsxHVgsfYcsvdLdSKluYjo.pkg,http://zeus.dl.playstation.net/cdn/UP0102/NPUB30720_00/xCpOoHcXQLJhMdFoTIIMLfsSSrolTbYvlQUzngaxmVbsxHVgsfYcsvdLdSKluYjo.pkg,NONE,,UP0102-NPUB30720_00-0000000000000000
NPUB30722,Closure,http://zeus.dl.playstation.net/cdn/UP2067/NPUB30722_00/oQkxWKDokdZdalXaQtlyGHOxGIHvZOvhEmBluAwsAqkVoBXnVqcXefCqgkkISvapOJITQxFCbhXRZKaDoxBnLJpZJGngcAiBgAaNw.pkg,,NO,Closure,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP2067/NPUB30722_00/oQkxWKDokdZdalXaQtlyGHOxGIHvZOvhEmBluAwsAqkVoBXnVqcXefCqgkkISvapOJITQxFCbhXRZKaDoxBnLJpZJGngcAiBgAaNw.pkg,,,,
NPUB30724,Bayonetta,http://zeus.dl.playstation.net/cdn/UP0177/NPUB30724_00/SaichzhyMGNtedIkzZUhwcwDaYnYqUbIeMZqAexUEywSJXWZwjLGVSXsuCgSsZRu.pkg,UP0177-NPUB30724_00-00BAYONETTAHDDUS,YES,Bayonetta,Bayonetta,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,http://zeus.dl.playstation.net/cdn/UP0177/NPUB30724_00/SaichzhyMGNtedIkzZUhwcwDaYnYqUbIeMZqAexUEywSJXWZwjLGVSXsuCgSsZRu.pkg,http://zeus.dl.playstation.net/cdn/UP0177/NPUB30724_00/SaichzhyMGNtedIkzZUhwcwDaYnYqUbIeMZqAexUEywSJXWZwjLGVSXsuCgSsZRu.pkg,NONE,,UP0177-NPUB30724_00-00BAYONETTAHDDUS
NPUB30729,Wheels of Destruction,http://zeus.dl.playstation.net/cdn/UP4275/NPUB30729_00/ioOqBRfAVahutveRKqXUjVZxSRcfZwfTZTMLQlurhBvZbXCeDTtsDUkCtegzPtXiCIHeyUPfFDoIcrYhuJRZWIaJmTzqtyVKMNejg.pkg,UP4275-NPUB30729_00-WOD0000000000000,YES,Wheels of Destruction,Wheels of Destruction,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,http://zeus.dl.playstation.net/cdn/UP4275/NPUB30729_00/ioOqBRfAVahutveRKqXUjVZxSRcfZwfTZTMLQlurhBvZbXCeDTtsDUkCtegzPtXiCIHeyUPfFDoIcrYhuJRZWIaJmTzqtyVKMNejg.pkg,http://zeus.dl.playstation.net/cdn/UP4275/NPUB30729_00/ioOqBRfAVahutveRKqXUjVZxSRcfZwfTZTMLQlurhBvZbXCeDTtsDUkCtegzPtXiCIHeyUPfFDoIcrYhuJRZWIaJmTzqtyVKMNejg.pkg,NONE,,UP4275-NPUB30729_00-WOD0000000000000
NPUB30733,BIT.TRIP Presents...Runner2: Future Legend of Rhythm Alien,http://zeus.dl.playstation.net/cdn/UP1024/NPUB30733_00/phxmPbtrefpeLnUleJhkpZTpETRhqqepqmGaITbxngSLdEISDrHzcjCBVsSXIMgV.pkg,,NO,BIT.TRIP Presents...Runner2: Future Legend of Rhythm Alien,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP1024/NPUB30733_00/phxmPbtrefpeLnUleJhkpZTpETRhqqepqmGaITbxngSLdEISDrHzcjCBVsSXIMgV.pkg,,,,
NPUB30736,Girl Fight,http://zeus.dl.playstation.net/cdn/UP1012/NPUB30736_00/MGFWsnoHnOVZOzcEXycEBbYxmiSejlLNoTOckcNoJaGzKWXgqfwZVNqLMBlViUqt.pkg,,NO,Girl Fight,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP1012/NPUB30736_00/MGFWsnoHnOVZOzcEXycEBbYxmiSejlLNoTOckcNoJaGzKWXgqfwZVNqLMBlViUqt.pkg,,,,
NPUB30737,Far Cry Classic Trial,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30737_00/thqxbMPDkLrnCWlEiMbTwDJknkANrxHjAWWPjoPKTqkKfzETBFIrlqzODyvzaVEv.pkg,,NO,Far Cry Classic Trial,,US,,PS3,,PSN,,NO,BASE_GAME,,NO,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30737_00/thqxbMPDkLrnCWlEiMbTwDJknkANrxHjAWWPjoPKTqkKfzETBFIrlqzODyvzaVEv.pkg,,,,
NPUB30741,The Walking Dead,http://zeus.dl.playstation.net/cdn/UP2026/NPUB30741_00/TjatglmLNzUnHGmQKUDxGDaDVqgQgYhmfLuZKHrQAcPLzJKqYGVQFLpYBRnfLUqtobSuRGELLIoLAFGAHDxDzphZwbjgalrvZDwdH.pkg,,NO,The Walking Dead,The Walking Dead,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,http://zeus.dl.playstation.net/cdn/UP2026/NPUB30741_00/TjatglmLNzUnHGmQKUDxGDaDVqgQgYhmfLuZKHrQAcPLzJKqYGVQFLpYBRnfLUqtobSuRGELLIoLAFGAHDxDzphZwbjgalrvZDwdH.pkg,http://zeus.dl.playstation.net/cdn/UP2026/NPUB30741_00/TjatglmLNzUnHGmQKUDxGDaDVqgQgYhmfLuZKHrQAcPLzJKqYGVQFLpYBRnfLUqtobSuRGELLIoLAFGAHDxDzphZwbjgalrvZDwdH.pkg,NONE,,
NPUB30742,Battlefield 3,http://zeus.dl.playstation.net/cdn/UP0006/NPUB30742_00/ebYBeYEAmYUnDzdQBZtSqrhDhTVkNfPWDjYIGgVUbIHckvqJEkxOrYIcpezCrpUcBOcebZsPfZrdRBDZonAPsFQKnVBVTbSAPdFLv.pkg,UP0006-NPUB30742_00-BF30000000000000,YES,Battlefield 3,Battlefield 3,US,US,PS3,PS3,PSN,PSN,YES,BASE_GAME,BASE_GAME,YES,,http://zeus.dl.playstation.net/cdn/UP0006/NPUB30742_00/ebYBeYEAmYUnDzdQBZtSqrhDhTVkNfPWDjYIGgVUbIHckvqJEkxOrYIcpezCrpUcBOcebZsPfZrdRBDZonAPsFQKnVBVTbSAPdFLv.pkg,NONE,,UP0006-NPUB30742_00-BF30000000000000
