GameId	Region	GameTitle	URL
SCES23045	DE	Legend of Dragoon, The	
SCES31567	DE	X-Files, The	
SCES33045	DE	Legend of Dragoon, The	
SLED00355	DE	Resident Evil	
SLED00695	DE	Command & Conquer - Teil 1 - Der Tiberiumkonflikt	
SLED01270	DE	Command & Conquer - Alarmstufe Rot & Bloody Roar	
SLED01306	DE	Autorennen Spezial '98	
SLED01311	DE	Adidas Power Soccer 98	
SLED01381	DE	Colin McRae Rally	
SLED01512	DE	Next Wave Herbst '98	
SLED01575	DE	O.D.T.	
SLED01633	DE	PlayStation Zone CD Vol. 1	
SLED01724	DE	PlayStation Zone CD Vol. 2	
SLED01773	DE	PlayStation Zone CD Vol. 3	
SLED01774	DE	Silent Hill	
SLED01783	DE	PlayStation Zone CD Vol. 4	
SLED01898	DE	PlayStation Zone CD Vol. 5	
SLED01968	DE	PlayStation Zone CD Vol. 6	
SLED02042	DE	PlayStation Zone CD Vol. 7	
SLED02046	DE	Star Wars - Episode I - Die Dunkle Bedrohung	
SLED02065	DE	Play Fun 06-99	
SLED02078	DE	PlayStation Zone CD Vol. 8	
SLED02110	DE	Play Fun 07-99	
SLED02139	DE	PlayStation Zone CD Vol. 9	
SLED02155	DE	Play Fun 8-99	
SLED02188	DE	Play Fun 09-99	
SLED02190	DE	PlayStation Zone CD Vol. 10	
SLED02275	DE	PlayStation Zone CD Vol. 11	
SLED02291	DE	Play Fun 10-99	
SLED02309	DE	Play Fun 02-00	
SLED02311	DE	Play Fun 11-99	
SLED02312	DE	PlayStation Zone CD Vol. 12	
SLED02381	DE	PlayStation Zone CD Vol. 13	
SLED02414	DE	Play Fun 12-99	
SLED02436	DE	PlayStation Zone CD Vol. 14	
SLED02518	DE	PlayStation Zone CD Vol. 15	
SLED02519	DE	Play Fun 01-00	
SLED02592	DE	PlayStation Zone CD Vol. 16	
SLED02593	DE	Play Fun 3-00	
SLED02594	DE	Play Fun 04-00	
SLED02683	DE	PlayStation Zone CD Vol. 17	
SLED02721	DE	Play Zone Vol. 18	
SLED02832	DE	Play Zone Vol. 19	
SLED02880	DE	Play Zone Vol. 20	
SLED02987	DE	Play Zone Vol. 21	
SLED03049	DE	Play Zone Vol. 22	
SLED03106	DE	Play Zone Vol. 23	
SLED03165	DE	Play Zone Vol. 24	
SLED03255	DE	Play Zone Vol. 25	
SLES00105	DE	Wing Commander III - Heart of the Tiger	
SLES00137	DE	World Cup Golf - Professional Edition	
SLES00144	DE	Thunderhawk 2 - Firestorm	
SLES00148	DE	Defcon 5	
SLES00151	DE	Revolution X - Music Is the Weapon	
SLES00160	DE	D	
SLES00167	DE	Chronicles of the Sword	
SLES00193	DE	Discworld	
SLES00212	DE	Syndicate Wars	
SLES00214	DE	ran Soccer	
SLES00216	DE	Shellshock	
