GameId	Region	GameTitle	PKG direct link
NPUH10002	US	The Cryptics	http://zeus.dl.playstation.net/cdn/UP1040/NPUH10002_00/JuUPfrlC4l1qbp0kWvirO2241GHfu2vaJ77PPCc38Tv1LKQV69SByV6iV3BplVi8C9ruAJrEwomoIUOyMIUXanXuLCCoSU2CWJCNv.pkg
NPUH10005	US	PBR Out of the Chute	http://zeus.dl.playstation.net/cdn/UP1040/NPUH10005_00/tydRRirC2D9b3vaoTQ0xQn4y42Ab5VDmrG3oeqs46SMVAyE6aAnvKmJRGHYVx4yJQJ5cNMyX6o5pcOeHt9HyNWcohIsdLDrAueWyy.pkg
NPUH10006	US	Brain Challenge	http://zeus.dl.playstation.net/cdn/UP2006/NPUH10006_00/MkAGob2oNbTsj13V0rA0BWm4U0SFcjKNvthI5MCXRPJ89B6INKjA6NqIn75b2lNRYxmDvtBVT3xTWl98GunUWxytLoHXqEI1eJk4j.pkg
NPUH10007	US	No Gravity – The Plague Of Mind	http://zeus.dl.playstation.net/cdn/UP4050/NPUH10007_00/gqlIH08QEeJtkWecakmdX18kgXUkt7MhCh4VqT4PW4gjOb9e4OCtvK0FFQUxvkn0TExV1VEVSQjseVeoL2GJIqndsjsv9DhJtyGxi.pkg
NPUH10008	US	Unbound Saga	http://zeus.dl.playstation.net/cdn/UP2010/NPUH10008_00/v9Pp8r3PTdb1FPqbs1s0UJYduQjqfNcyTouvHemu3yKyAPQqR4auwxkB9M7UimxHgj0P72KGgyinMsRUtoUpQ2j4qnyyXgWUaxpFd.pkg
NPUH10009	US	Fate/Unlimited Code	http://zeus.dl.playstation.net/cdn/UP0102/NPUH10009_00/60H74GGQbRj1mwAWbSNTLONSeefNlGiTyRDSyV6DTcwCDkrGxY2XDj2wmDEYGkMMUEvDlrTfDC57KOGGdFcrWBPNnuDCgFKNd6vYX.pkg
NPUH10010	US	MYST	http://zeus.dl.playstation.net/cdn/UP2014/NPUH10010_00/wgu9LTeqcL4TeGYseUb5jXH2XE2qd1K4lqWmPWGlyAPirpJxyonHph9h0iW1D5dfVPw2MH1rxkTVhfRF17nmpnoeLJEmqpsqJKrHh.pkg
NPUH10013	US	DJMax Fever	http://zeus.dl.playstation.net/cdn/UP2011/NPUH10013_00/h5TokRTdxNh2qsYQM4OoO9UDpvbXtfFcEYlvglX8qluPKYXB4dTtdSDjFjjA60A53wHugoSd5HvsHJotkCVTDaOxeAB2P7kVGGFyO.pkg
NPUH10015	US	Rock Band Unplugged Lite	http://zeus.dl.playstation.net/cdn/UP8802/NPUH10015_00/rMKLGsJYMcB6aMVSw3rXpSxL5N0sIS48AgcW4iuQpNlMVoid3Kr8o7eagWPFQpTt3kssA3xI3HJ4av7XsubOGMWeiHNieNWiJKwWS.pkg
NPUH10020	US	Strikers 1945 Plus Portable	http://zeus.dl.playstation.net/cdn/UP2011/NPUH10020_00/yvGbbUguuF94QaWn6NcHlQSIolao2h4CbM1wOiRmtYc9SN1URmPDaRKGp44D5TqtAOAhFl6SDCa0gIG0i4K1DSm8V0v4o53YxcCX8.pkg
