GameId	Region	GameTitle	URL	Eboot	Icon0	ParamSfo	Pic1	Snd0	Have
BLUS30100	US	NFL Tour		games/NFL Tour [BLUS30100]/PS3_GAME/USRDIR/EBOOT.BIN	games/NFL Tour [BLUS30100]/PS3_GAME/ICON0.PNG	games/NFL Tour [BLUS30100]/PS3_GAME/PARAM.SFO	games/NFL Tour [BLUS30100]/PS3_GAME/PIC1.PNG	games/NFL Tour [BLUS30100]/PS3_GAME/SND0.AT3	0
BLUS30101	US	BlackSite: Area 51		games/BlackSite: Area 51 [BLUS30101]/PS3_GAME/USRDIR/EBOOT.BIN	games/BlackSite: Area 51 [BLUS30101]/PS3_GAME/ICON0.PNG	games/BlackSite: Area 51 [BLUS30101]/PS3_GAME/PARAM.SFO	games/BlackSite: Area 51 [BLUS30101]/PS3_GAME/PIC1.PNG	games/BlackSite: Area 51 [BLUS30101]/PS3_GAME/SND0.AT3	0
BLUS30103	US	History Channel: Battle for the Pacific		games/History Channel: Battle for the Pacific [BLUS30103]/PS3_GAME/USRDIR/EBOOT.BIN	games/History Channel: Battle for the Pacific [BLUS30103]/PS3_GAME/ICON0.PNG	games/History Channel: Battle for the Pacific [BLUS30103]/PS3_GAME/PARAM.SFO	games/History Channel: Battle for the Pacific [BLUS30103]/PS3_GAME/PIC1.PNG	games/History Channel: Battle for the Pacific [BLUS30103]/PS3_GAME/SND0.AT3	0
BLUS30104	US	Turok		games/Turok [BLUS30104]/PS3_GAME/USRDIR/EBOOT.BIN	games/Turok [BLUS30104]/PS3_GAME/ICON0.PNG	games/Turok [BLUS30104]/PS3_GAME/PARAM.SFO	games/Turok [BLUS30104]/PS3_GAME/PIC1.PNG	games/Turok [BLUS30104]/PS3_GAME/SND0.AT3	0
BLUS30105	US	Soldier of Fortune: Payback		games/Soldier of Fortune: Payback [BLUS30105]/PS3_GAME/USRDIR/EBOOT.BIN	games/Soldier of Fortune: Payback [BLUS30105]/PS3_GAME/ICON0.PNG	games/Soldier of Fortune: Payback [BLUS30105]/PS3_GAME/PARAM.SFO	games/Soldier of Fortune: Payback [BLUS30105]/PS3_GAME/PIC1.PNG	games/Soldier of Fortune: Payback [BLUS30105]/PS3_GAME/SND0.AT3	0
BLUS30106	US	The Elder Scrolls IV: Shivering Isles		games/The Elder Scrolls IV: Shivering Isles [BLUS30106]/PS3_GAME/USRDIR/EBOOT.BIN	games/The Elder Scrolls IV: Shivering Isles [BLUS30106]/PS3_GAME/ICON0.PNG	games/The Elder Scrolls IV: Shivering Isles [BLUS30106]/PS3_GAME/PARAM.SFO	games/The Elder Scrolls IV: Shivering Isles [BLUS30106]/PS3_GAME/PIC1.PNG	games/The Elder Scrolls IV: Shivering Isles [BLUS30106]/PS3_GAME/SND0.AT3	0
BLUS30109	US	Metal Gear Solid 4: Guns of the Patriots		games/Metal Gear Solid 4: Guns of the Patriots [BLUS30109]/PS3_GAME/USRDIR/EBOOT.BIN	games/Metal Gear Solid 4: Guns of the Patriots [BLUS30109]/PS3_GAME/ICON0.PNG	games/Metal Gear Solid 4: Guns of the Patriots [BLUS30109]/PS3_GAME/PARAM.SFO	games/Metal Gear Solid 4: Guns of the Patriots [BLUS30109]/PS3_GAME/PIC1.PNG	games/Metal Gear Solid 4: Guns of the Patriots [BLUS30109]/PS3_GAME/SND0.AT3	0
BLUS30112	US	Karaoke Revolution Presents: American Idol Encore		games/Karaoke Revolution Presents: American Idol Encore [BLUS3011]/PS3_GAME/USRDIR/EBOOT.BIN	games/Karaoke Revolution Presents: American Idol Encore [BLUS3011]/PS3_GAME/ICON0.PNG	games/Karaoke Revolution Presents: American Idol Encore [BLUS3011]/PS3_GAME/PARAM.SFO	games/Karaoke Revolution Presents: American Idol Encore [BLUS3011]/PS3_GAME/PIC1.PNG	games/Karaoke Revolution Presents: American Idol Encore [BLUS3011]/PS3_GAME/SND0.AT3	0
BLUS30110	US	Dynasty Warriors 6		games/Dynasty Warriors 6 [BLUS30110]/PS3_GAME/USRDIR/EBOOT.BIN	games/Dynasty Warriors 6 [BLUS30110]/PS3_GAME/ICON0.PNG	games/Dynasty Warriors 6 [BLUS30110]/PS3_GAME/PARAM.SFO	games/Dynasty Warriors 6 [BLUS30110]/PS3_GAME/PIC1.PNG	games/Dynasty Warriors 6 [BLUS30110]/PS3_GAME/SND0.AT3	0
BLUS30111	US	Pro Evolution Soccer 2008		games/Pro Evolution Soccer 2008 [BLUS30111]/PS3_GAME/USRDIR/EBOOT.BIN	games/Pro Evolution Soccer 2008 [BLUS30111]/PS3_GAME/ICON0.PNG	games/Pro Evolution Soccer 2008 [BLUS30111]/PS3_GAME/PARAM.SFO	games/Pro Evolution Soccer 2008 [BLUS30111]/PS3_GAME/PIC1.PNG	games/Pro Evolution Soccer 2008 [BLUS30111]/PS3_GAME/SND0.AT3	0
