GameId	Region	GameTitle	URL
SLAJ25063	AS	Shin Sangoku Mosou 4	
SLAJ25064	AS	MVP Baseball 2005	
SLAJ25068	AS	Shin Sangoku Musou 4 - Moushouden	
SLAJ25072	AS	Matrix, The - Path of Neo	
SLAJ25075	AS	Need for Speed - Most Wanted - Black Edition	
SLAJ25077	AS	Samurai Warriors 2	
SLAJ25078	AS	Black	
SLAJ25079	AS	Shin Sangoku Musou 4 - Empires	
SLAJ25080	AS	Godfather, The	
SLAJ25081	AS	FIFA World Cup - Germany 2006	
SLAJ25084	AS	Sengoku Musou 2 - Empires	
SLAJ25087	AS	NBA Live '07	
SLAJ25088	AS	FIFA Soccer 2007	
SLAJ25092	AS	Shin Sangoku Musou 4	
SLAJ25093	AS	Sangoku Musou	
SLAJ25095	AS	Medal of Honor - Vanguard	
SLAJ25104	AS	Shin Sangoku Musou 5 Special	
SLAJ25105	AS	Shin Sangoku Musou 5 Special	
SLAJ25114	AS	World Soccer Winning Eleven 2010	
SLAJ35001	AS	Sakura Wars	
SLAJ35002	AS	zzz_unknown_asian_title	
SCPS55041	AS	Memories Off	
SCAJ20126	AS	Tekken 5	
SCAJ20159	AS	Soulcalibur III	
SCAJ20176	AS	Curious George	
SCAJ30010	AS	God of War	
SCAJ30011	AS	God of War II	
SCPS55043	AS	Fatal Frame	
SLAJ25017	AS	Harry Potter and the Philosopher's Stone	
SLAJ25041	AS	Harry Potter and the Prisoner of Azkaban	
SLAJ25052	AS	Urbz, The - Sims in the City	
SLAJ25053	AS	Burnout 3 - Takedown	
SLAJ25066	AS	Burnout Revenge	
SLAJ25073	AS	Resident Evil 4	
SLAJ25076	AS	Harry Potter and the Goblet of Fire	
SLAJ25091	AS	Need for Speed - Carbon - Collector's Edition	
SLAJ25094	AS	Burnout Dominator	
SLPM62264	AS	Shin Contra	
SLPM65181	AS	Need for Speed - Hot Pursuit 2	
SLPM65201	AS	Star Wars - Jedi Starfighter	
SCAJ20003	AS	Argus no Senshi	
SCAJ20119	AS	Gladiator - Road to Freedom	
SCAJ20160	AS	Yoshitsuneki	
SCPS51005	AS	Samurai	
SCPS55030	AS	Hajime no Ippo - Victorious Boxers - Champion Version	
SCAJ20016	AS	A Ge Si Zhan Shi	
SCPS55023	AS	Otostaz	
SCPS55903	AS	Gran Turismo Concept - 2002 Tokyo-Geneva	
SLAJ25031	AS	Kunoichi	
SLAJ25115	AS	World Soccer Winning Eleven 2011	
SLPM65212	AS	Lord of the Rings, The - The Two Towers	
SCAJ20146	AS	Wang Da Yu Ju Xiang	
SCPS55032	AS	Fantavision - For You and Me	
SLPM62163	AS	WinBack	
PBPX95524	AS	Gran Turismo 4 - Prologue	
SCAJ10010	AS	Mahjong Party - Gen Shuizhu Meinue Dajiquan	
SCAJ20007	AS	XI [sai] - XI-Go	
SCAJ20028	AS	Tales of Destiny 2	
SCAJ20038	AS	Arc the Lad - Jing Ling Zhi Huang Hun	
SCAJ20060	AS	Time Crisis 3	
SCAJ20066	AS	Gran Turismo 4 - Prologue	
SCAJ20082	AS	Gungrave OD	
SCAJ20088	AS	Yu Zi - Qiang Jiu Shui Tang Da Zuo Zhan	
SCAJ20099	AS	Ico	
SCAJ20100	AS	Tenchu Kurenai	
SCAJ20101	AS	Gen Houzi Wan Ba! Shouwu Zuta Nao Fantian!!	
SCAJ20116	AS	Death by Degrees	
SCAJ20144	AS	Zhuo Hou La 3	
SCAJ20167	AS	Si Hun Qu 2	
SCAJ20168	AS	Rule of Rose	
SCAJ20170	AS	Tourist Trophy	
SCAJ20178	AS	Zhuo Hou La - Baiwan Houjun Jingbao Da Chuji	
SCAJ30003	AS	Si Hun Qu	
SCAJ30004	AS	Kan Wo Long Xian Shen Wei	
SCAJ30005	AS	Shenqi Jiqi Jingjichang - Bibohou Zhongji Rezhan	
SCAJ30007	AS	Gran Turismo 4	
SLAJ25019	AS	Lord of the Rings, The - The Return of the King	
SLAJ25028	AS	Sims, The - Bustin' Out	
SLAJ25030	AS	Medal of Honor - Rising Sun	
SLAJ25045	AS	Yinghua Dazhan V Episode 0 - Huangye de Shaon�� Wushi	
SLAJ25047	AS	Duo Luo Luo	
SLAJ25051	AS	Lord of the Rings, The - The Third Age	
SLAJ25060	AS	Shouwangji - Project Altered Beast	
SLPM62240	AS	Sims, The	
SLPM62241	AS	Harry Potter and the Chamber of Secrets	
SLPM65162	AS	San Guo Zhi Zhan Ji	
SLPM65163	AS	Zhen San Guo Wu Shuang 2	
SCES54556	AT	Big! Mega Quiz, The	
PBPX95209	AU	DVD Player Version 2.10	
SCED50610	AU	Official PlayStation 2 Magazine Demo 14	
SCED51405	AU	Space Channel 5 - Part 2 Special Demo	
SCED51485	AU	Official Playstation 2 Magazine Australia - Demo Disc 12	
SCED52391	AU	Bonus Demo 6	
SCED53939	AU	Official PlayStation 2 Magazine Demo 67	
SCED54192	AU	AFL Premiership 2006	
SCES51977	AU	Hardware - Online Arena	
SCES52425	AU	This Is Soccer 2004	
SCES52431	AU	This Is Soccer 2005	
SCES53183	AU	SingStar Pop	
SCES53449	AU	AFL Premiership 2005	
SCES53669	AU	Buzz! The Music Quiz	
SCES53880	AU	Buzz! The Big Quiz	
SCES53890	AU	SingStar Rocks!	
SCES54264	AU	Buzz! The Sports Quiz	
SCES54330	AU	SingStar Legends	
SCES54501	AU	Buzz! The Mega Quiz	
SCES54760	AU	SingStar R&B	
SCES54773	AU	SingStar Pop Hits	
SCES55077	AU	SingStar Party Hits	
SCES55100	AU	Buzz! The Pop Quiz	
SCES55176	AU	SingStar Amped	
SCES55419	AU	Buzz! Brain of Oz	
SCES55435	AU	SingStar ABBA	
SCES55567	AU	SingStar The Wiggles	
SCES55611	AU	SingStar Chart Hits	
SLED50762	AU	Maximo	
SLED53681	AU	EA Demo Disc - From Russia with Love + Need for Speed - Most Wanted + SSX On Tour	
SLED53731	AU	Battlefield 2 - Modern Combat	
SLED53732	AU	Spartan - Total Warrior	
SLED53888	AU	V8 Supercars Australia 3	
SLED53980	AU	Urban Chaos - Riot Response	
SLED54401	AU	Destroy All Humans! 2	
SLES50119	AU	Tiger Woods USA Tour 2001	
SLES50729	AU	Tiger Woods USA Tour 2002	
SLES50767	AU	V8 Supercars Australia - Race Driver	
SLES50793	AU	Grand Theft Auto III	
SLES51168	AU	AFL Live 2003	
SLES51251	AU	Shox - Rally Reinvented	
SLES51298	AU	Nickelodeon Jimmy Neutron - Boy Genius	
SLES51316	AU	Grand Theft Auto - Vice City	
SLES51826	AU	AFL Live 2004	
SLES51925	AU	Splashdown 2 - Rides Gone Wild	
SLES52100	AU	NRL Rugby League	
SLES52368	AU	AFL Live - Premiership Edition	
SLES52894	AU	Bard's Tale, The	
SLES52900	AU	Rapala Pro Fishing	
SLES52919	AU	NRL Rugby League 2	
SLES53058	AU	Ricky Ponting International Cricket 2005	
SLES53089	AU	V8 Supercars Australia 3	
SLES53314	AU	Melbourne Cup Challenge	
SLES53418	AU	Nickelodeon Tak - The Great Juju Challenge	
SLES53483	AU	Magna Carta - Tears of Blood	
SLES53634	AU	Nicktoons Unite!	
SLES53636	AU	TY the Tasmanian Tiger - Night of the Quinkan	
SLES53697	AU	Dora the Explorer - Journey to the Purple Planet	
SLES53722	AU	Call of Duty 2 - Big Red One - Collector's Edition	
SLES53749	AU	Cabela's Outdoor Adventures	
SLES53885	AU	Cabela's Dangerous Hunts 2	
SLES53994	AU	50 Cent - Bulletproof	
SLES54068	AU	AFL Premiership 2006	
SLES54224	AU	Australian Idol Sing	
SLES54231	AU	Ricky Ponting International Cricket 2007	
SLES54309	AU	Strawberry Shortcake - The Sweet Dreams Game	
SLES54433	AU	Dr. Dolittle	
SLES54434	AU	Babe	
SLES54435	AU	Casper and the Ghostly Trio	
SLES54436	AU	Jumanji	
SLES54472	AU	Home Alone	
SLES54519	AU	Ford Street Racing XR Edition	
SLES54534	AU	Scarface - The World Is Yours	
SLES54540	AU	Hawk Superbike Racing	
SLES54639	AU	AFL Premiership 2007	
SLES54655	AU	Cabela's African Safari	
SLES54809	AU	Charlotte's Web	
SLES54810	AU	Rugby 08	
SLES54990	AU	Nicktoons - Attack of the Toybots	
SLES55080	AU	Nickelodeon SpongeBob's Atlantis SquarePantis	
SLES55081	AU	Jackass - The Game	
SLES55112	AU	Nick Jr. Dora the Explorer - Dora Saves the Mermaids	
SLES55184	AU	Disney-Pixar WALL-E	
SLES55250	AU	WWE SmackDown vs. Raw 2009	
SLES55264	AU	Nickelodeon Avatar - The Legend of Aang - Into the Inferno	
SLES55359	AU	Bratz - Girlz Really Rock	
SLES55518	AU	Guitar Hero - Van Halen	
SCED50660	AU	Dropship - United Peace Force	
SCED54099	AU	Official PlayStation 2 Magazine Demo 71	
SCES51618	AU	SOCOM - U.S. NAVY SEALs	
SCES52306	AU	SOCOM II - U.S. Navy SEALs	
SLES52283	AU	Terminator 3 - The Redemption	
SLES52639	AU	V8 Supercars Australia 2	
SLES53560	AU	Sonic Riders	
SLES55458	AU	Rock Band - Song Pack 2	
SCES51979	AU	Destruction Derby Arenas	
SLES53139	AU	Alien Hominid	
SLES54949	AU	Catz	
PBPX95220	AU	DVD Player Version 2.14	
SCES51610	BE	This Is Football 2004	
SLUS21949	BR	Netflix Streaming Disc	
SLUS21954	BR	FIFA 13	
SCES55421	CH	Buzz! Brain of Switzerland	
SCES50596	DA	Disney-Pixar Monsters, Inc. - Skraemmeoen	
SCES54353	DA	SingStar Legends	
SCES55060	DA	SingStar Summer Party	
SCES55262	DA	Singstar Syng med Disney	
SCES55590	DA	SingStar Store Dromme	
SCED50256	DE	Rueckblick auf die FIA Formel-Eins-Weltmeisterschaft 2000	
SCED50594	DE	Official PlayStation 2 Magazine Demo 12	
SCED50780	DE	Official PlayStation 2 Magazine Special Edition 1	
SCED51319	DE	Official PlayStation 2 Magazine Demo 27	
SCED51376	DE	Official PlayStation 2 Magazine Demo 28	
SCED51432	DE	Official PlayStation 2 Magazine Demo 29	
SCED51483	DE	Official PlayStation 2 Magazine Demo 30	
SCED51549	DE	Official PlayStation 2 Magazine Germany Special Edition 2003-02	
SCED51551	DE	Official PlayStation 2 Magazine Germany Special Edition 2003-03	
SCED51575	DE	Official PlayStation 2 Magazine 13-2003	
SCED52037	DE	Official PlayStation 2 Magazine 12-2003	
SCED52082	DE	Offizielle PlayStation 2 Magazin 02-2004, Das - Uncut Edition	
SCED52087	DE	Official PlayStation 2 Magazine Demo 47	
SCED53209	DE	Official PlayStation 2 Magazine Germany 2005-07	
SCED53210	DE	Official PlayStation 2 Magazine Germany 2005-08	
SCED53211	DE	Official PlayStation 2 Magazine Germany 2005-09	
SCED53214	DE	Official PlayStation 2 Magazine Germany 2005-12	
SCED53215	DE	Official PlayStation 2 Magazine Germany 2005-13	
SCED53217	DE	Official PlayStation 2 Magazine Germany 2006-02	
SCED53662	DE	Official PlayStation 2 Germany Special 2-2005	
SCED53681	DE	Gran Turismo 4 - BMW Virtual Drive	
SCED53938	DE	Official PlayStation 2 Germany Special 3-2005	
SCED54050	DE	Official PlayStation 2 Magazine Germany 04-2006	
SCED54051	DE	Official PlayStation 2 Magazine Germany 05-2006	
SCED54053	DE	Official PlayStation 2 Magazine Germany 07-2006	
SCED54054	DE	Official PlayStation 2 Magazine Germany 08-2006	
SCED54056	DE	Official PlayStation 2 Magazine Germany 10-2006	
SCED54059	DE	Official PlayStation 2 Magazine Germany 13-2006	
SCED54605	DE	Official PlayStation 2 Magazine Germany 1-2007	
SCED54693	DE	Official PlayStation 2 Magazine Germany Special Edition 2007-1	
SCED54758	DE	Official PlayStation 2 Magazine Germany 04-2007	
SCES50492	DE	Final Fantasy X	
SCES50600	DE	Disney-Pixar Die Monster AG - Schreckens-Insel	
SCES50969	DE	Kingdom Hearts	
SCES51104	DE	Ape Escape 2	
SCES52328	DE	Forbidden Siren	
SCES52565	DE	SingStar	
SCES52763	DE	DJ - Decks & FX Vol. 1	
SCES52829	DE	SingStar Party	
SCES53180	DE	SingStar The Dome	
SCES53604	DE	SingStar '80s	
SCES53883	DE	Buzz! Das grosse Quiz	
SCES54128	DE	SingStar Deutsch Rock-Pop	
SCES54198	DE	SingStar Legends	
SCES54259	DE	Buzz! Das Sport-Quiz	
SCES54499	DE	Buzz! Das Mega-Quiz	
SCES54571	DE	SingStar Pop Hits	
SCES54600	DE	SingStar Die Toten Hosen	
SCES54601	DE	SingStar Apres-Ski Party	
SCES54741	DE	SingStar Deutsch Rock-Pop Vol. 2	
SCES54762	DE	SingStar R&B	
SCES55057	DE	SingStar Summer Party	
SCES55159	DE	SingStar Amped	
SCES55179	DE	SingStar Schlager	
SCES55258	DE	SingStar Best of Disney	
SCES55360	DE	SingStar Best of Disney	
SCES55361	DE	SingStar Boy Bands vs Girl Bands	
SCES55362	DE	SingStar Hottest Hits	
SCES55387	DE	Buzz! Deutschlands Superquiz	
SCES55437	DE	SingStar ABBA	
SCES55454	DE	SingStar Queen	
SCES55489	DE	SingStar Mallorca Party	
SCES55538	DE	SingStar	
SCES55552	DE	SingStar Motown	
SCES55557	DE	SingStar Take That	
SCES55564	DE	SingStar Made in Germany	
SCES55570	DE	SingStar Chartbreaker	
SCES55606	DE	SingStar Die groessten Solokuenstler	
SCES55617	DE	SingStar Fussballhits	
SCES55641	DE	SingStar Apres-Ski Party 2	
SCES55891	DE	SingStar Rocks!	
SLES50020	DE	Kessen	
SLES50024	DE	NBA Live 2001	
SLES50028	DE	NHL 2001	
SLES50059	DE	Dynasty Warriors 2	
SLES50130	DE	Knockout Kings 2001	
SLES50138	DE	Robot Warlords	
SLES50160	DE	Gungriffon Blaze	
SLES50167	DE	Star Wars - Starfighter	
SLES50177	DE	Oni	
SLES50206	DE	Star Wars - Super Bombad Racing	
SLES50227	DE	Flucht von Monkey Island	
SLES50265	DE	Hype - The Time Quest	
SLES50279	DE	Red Faction	
SLES50297	DE	Giftie	
SLES50336	DE	Rune - Viking Warlord	
SLES50372	DE	Star Wars - Jedi Starfighter	
SLES50402	DE	Shaun Palmer's Pro Snowboarder	
SLES50421	DE	Supercar Street Challenge	
SLES50427	DE	NHL 2002	
SLES50437	DE	Tony Hawk's Pro Skater 3	
SLES50497	DE	Wer wird Millionaer - 2. Edition	
SLES50505	DE	Half-Life	
SLES50536	DE	NBA Live 2002	
SLES50548	DE	BDFL Manager 2002	
SLES50558	DE	DSF Fussball Manager 2002	
SLES50580	DE	Kessen II	
SLES50608	DE	Shadow Man - 2econd Coming	
SLES50798	DE	2002 FIFA World Cup	
SLES50802	DE	Knockout Kings 2002	
SLES50805	DE	Deus Ex	
SLES50814	DE	Spider-Man	
SLES50815	DE	Blood Omen 2 - The Legacy of Kain Series	
SLES50828	DE	Star Wars - The Clone Wars	
SLES50833	DE	Star Wars - Bounty Hunter	
SLES50838	DE	Indiana Jones und die Legende der Kaisergruft	
SLES50846	DE	Medal of Honor - Frontline	
SLES50854	DE	WM Nationalspieler	
SLES50860	DE	Commandos 2 - Men of Courage	
SLES50872	DE	Mat Hoffman's Pro BMX 2	
SLES50899	DE	X-Men - Next Dimension	
SLES50976	DE	Thing, The	
SLES51009	DE	Autobahn Raser IV	
SLES51019	DE	Scooby-Doo! Nacht der 100 Schrecken	
SLES51025	DE	BDFL Manager 2003	
SLES51071	DE	RTX - Red Rock	
SLES51082	DE	Club Football - Hamburger SV	
SLES51083	DE	Club Football - Borussia Dortmund	
SLES51096	DE	Dino Stalker	
SLES51109	DE	Hitman 2 - Silent Assassin	
SLES51124	DE	Turok - Evolution	
SLES51132	DE	Tony Hawk's Pro Skater 4	
SLES51142	DE	Summoner 2	
SLES51182	DE	Tom Clancy's Ghost Recon	
SLES51194	DE	Harry Potter und die Kammer des Schreckens	
SLES51254	DE	Herr der Ringe, Der - Die zwei Tuerme	
SLES51267	DE	Dynasty Tactics	
SLES51300	DE	Nickelodeon Jimmy Neutron - Der mutige Erfinder	
SLES51318	DE	Minority Report	
SLES51362	DE	Simpsons Skateboarding, The	
SLES51402	DE	Tenchu - Wrath of Heaven	
SLES51443	DE	Dynasty Warriors 3 - Xtreme Legends	
SLES51458	DE	BDFL Manager 2004	
SLES51469	DE	Freedom Fighters	
SLES51477	DE	Mystic Heroes	
SLES51654	DE	Mace Griffin - Bounty Hunter	
SLES51658	DE	Disneys Ferkels grosses Abenteuer-Spiel	
SLES51663	DE	Dynasty Warriors 4	
SLES51688	DE	Pitfall - The Lost Expedition	
SLES51709	DE	Secret Weapons over Normandy	
