type,title_id,game_title,region,update,license,url,content_id
PSN,PCSB00060,Treasures of Montezuma Blitz,EU,1.91,KO5ifR1dg/J5YXzXABNDc2OYajOw/b5Ay12jQn0dnXw8Q6KAZuAB648qMLNLR3uZ3le2//Kxr240xgc3AADz2BPW,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00060/PCSB00060_T6/990699ac63fe8e5e/EP4173-PCSB00060_00-MONTEZUMABLITZ00-A0191-V0100-a9948d86712dcde3f7148b6e249a45c214fff5e8-PE.pkg,EP4173-PCSB00060_00-MONTEZUMABLITZ00-A0191-V0100
CARD,PCSB00061,Lumines: Electronic Symphony,EU,1.02,KO5ifR1dQ+e7BsBMBak2MwTZ7xPq6+nnGuzq4+ocEuQfHInPfx2sj/7utX+laydTJTm9vfLVII8O5pGeHgEUuxUb,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00061/PCSB00061_T3/3256ecfce85aae3a/EP0001-PCSB00061_00-LUMINESELECTROSY-A0102-V0100-b55bdd54be1a73097640bae3e889d158f1c41446-PE.pkg,EP0001-PCSB00061_00-LUMINESELECTROSY-A0102-V0100
CARD,PCSB00070,Ultimate Marvel vs. Capcom 3,EU,1.02,KO5ifR1dQ+e7BhgYQmxxAjsKZL+zY0Cob5izMcxSfP5ru5X37nu2Qu72fXbZ5ltEGUdjfHADAO9IE+IA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00070/PCSB00070_T3/0e682de3e81a0653/EP0102-PCSB00070_00-CAPUMVC300000000-A0102-V0100-1126e2b7951ea5e53f8ba9ac17be731e604fe346-PE.pkg,EP0102-PCSB00070_00-CAPUMVC300000000-A0102-V0100
CARD,PCSB00074,Assassin's Creed III: Liberation,EU,1.02,KO5ifR1dQ+e7BsBMBak2NwHb72zs4+nkGuQY4unvZ2puis9/P7p0dk70NGnzn7up2FuX/8xojA9uAAAgeRP4,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00074/PCSB00074_T2/48aacefa827b50d0/EP0001-PCSB00074_00-AC3LIBERATION575-A0102-V0100-fb6270cc52738aa5307a962451a055cf1b027b3f-PE.pkg,EP0001-PCSB00074_00-AC3LIBERATION575-A0102-V0100
PSN,PCSB00080,Pure Chess,EU,1.01,KO5ifR1dg/J5YXzXABNjY3OYaguw/aEBoUGuzh6uwcEQO/H5TzMq0ntTCaPDwqli3heEehIGeXQwj/T0CADEcxKO,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00080/PCSB00080_T1/d8986faeab39edcd/EP4337-PCSB00080_00-UPURECHESS000001-A0101-V0100-6e5cf8dda181f41520590cc9d6760ef58a3d1c20-PE.pkg,EP4337-PCSB00080_00-UPURECHESS000001-A0101-V0100
CARD,PCSB00089,Dynasty Warriors Next,EU,1.01,KO5ifR1dQ+e7BpgYGljAVFtYgux3CfdzjQhBWIrPf0tDXZwDzCxuOpysW7rPKPk9ZaHFsmE0xdAWAAB72RRe,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00089/PCSB00089_T0/5c0b8c269608269e/EP4108-PCSB00089_00-DWNEXT0000000000-A0101-V0100-feea39a3a7bc7fc0f7b2135c2e821535c2c93da9-PE.pkg,EP4108-PCSB00089_00-DWNEXT0000000000-A0101-V0100
PSN,PCSB00094,ZEN Pinball 2,EU,1.24,KO5ifR1dg/J5YXzXABMDEyOYaksTkP1Rrn4Bnn5Ojj4+RmA78fmvs+jrLPva7kdVquvuXHFfyjXIo4N5pKdHABfVFSkA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00094/PCSB00094_T23/8025fd78cd7b8386/EP4042-PCSB00094_00-ZENPINBALL200001-A0124-V0100-29d61e3bd6f69324ba1e9701aebe07bc47d2df80-PE.pkg,/EP4042-PCSB00094_00-ZENPINBALL200001-A0124-V010
PSN,PCSB00096,Tales From Space: Mutant Blobs Attack,EU,1.01,KO5ifR1dQ+e7BhgZmpjCVFuagez3DQ1x9Atx8vF3CnYM8QaagQckF7Mn3vriq8dXN1f8yl23T5SFFssGGkcH80hPjwA8HBVZ,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00096/PCSB00096_T1/962338407858946c/EP2145-PCSB00096_00-MUTANTBLOBSATK00-A0101-V0100-78bd2e4c4a88420ab90dd16ce3a0a2ba946b9731-PE.pkg,EP2145-PCSB00096_00-MUTANTBLOBSATK00-A0101-V0100
CARD,PCSB00098,Disgaea 3: Absence of Detention,EU,1.01,KO5ifR1dQ+e7BhgamBnDVFtagOx38Qx2d3R1NA5yhViKz3+il49P8rydVTj9xKuDv5p3rhuN8cENABvuFm0A,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00098/PCSB00098_T2/c8e8adcc6b7847ab/EP1063-PCSB00098_00-DISGAEA3RE000000-A0101-V0101-c1dff3f536b1d5ed7366cddef1cec992322df1df-PE.pkg,EP1063-PCSB00098_00-DISGAEA3RE000000-A0101-V0101
PSN,PCSB00102,Chronovolt,EU,1.03,KO5ifR1dQ+e7BpgYWBpDVRsaGIHsd/YI8vfzD/P3CYFYis9/Scybph6KqS4/e+PHrJ8s95IoCy2WDTSODuaRnh4BAlwWdAAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00102/PCSB00102_T2/94e8988ad417db3a/EP4093-PCSB00102_00-CHRONOVOLT000000-A0103-V0100-50e165a4844d30283afd1634a1a5012a1ea6a344-PE.pkg,EP4093-PCSB00102_00-CHRONOVOLT000000-A0103-V0100
PSN,PCSB00111,CastleStorm,EU,1.01,KO5ifR1dQ+e7BpgYmBhBVRsaGoLsd3YMDvFxDQ7xD/IF24nPf5r297+586z3/bglcMnL1HlzKQstlg00jg7mkZ4eAUT6FgEA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00111/PCSB00111_T0/e72aca4dedb2cefe/EP4042-PCSB00111_00-CASTLESTORM00001-A0101-V0100-2c24659dd6a9b85f25d641039995be56082a2a92-PE.pkg,EP4042-PCSB00111_00-CASTLESTORM00001-A0101-V0100
CARD,PCSB00115,Silent Hill: Book of Memories,EU,1.01,KO5ifR1dQ+e7BhgYQkwFqjY0NAXZH+zp4+oX4uHp4+Pk7+/t74vPf68fhNTZvXXgc973dMXkAJflozE+uAEAx3cVhgAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00115/PCSB00115_T0/1cd824cc773ddc12/EP0101-PCSB00115_00-SILENTHILLBOOKOM-A0101-V0100-f852c1449de40663cb643e89ce201b551d9b4145-PE.pkg,EP0101-PCSB00115_00-SILENTHILLBOOKOM-A0101-V0100
