game_name,id,type,region,languages,title,year,month,day,rom_name
Hot Shots Golf : Out of Bounds (Taiwan) (EN),BCAS20041,PS3,NTSC-A,EN,Hot Shots Golf : Out of Bounds,2008,4,1,Hot Shots Golf : Out of Bounds (Taiwan) (EN).iso
MLB 08 : The Show (Taiwan) (EN),BCAS20042,PS3,NTSC-A,EN,MLB 08 : The Show,2008,4,3,MLB 08 : The Show (Taiwan) (EN).iso
Battle Fantasia (Taiwan) (JA),BCAS20043,PS3,NTSC-A,JA,Battle Fantasia,2008,5,29,Battle Fantasia (Taiwan) (JA).iso
MotorStorm II (Taiwan) (JA),BCAS20044,PS3,NTSC-A,JA,MotorStorm II,2008,11,14,MotorStorm II (Taiwan) (JA).iso
"Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) (Taiwan) (EN,ZHTW)",BCAS20045,PS3,NTSC-A,"EN,ZHTW",Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best),2008,7,3,"Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best) (Taiwan) (EN,ZHTW).iso"
Tears to Tiara : Kakan no Daichi (Taiwan) (JA),BCAS20046,PS3,NTSC-A,JA,Tears to Tiara : Kakan no Daichi,2008,7,17,Tears to Tiara : Kakan no Daichi (Taiwan) (JA).iso
"Siren: New Translation (Taiwan) (EN,JA)",BCAS20047,PS3,NTSC-A,"EN,JA",Siren: New Translation,2008,7,24,"Siren: New Translation (Taiwan) (EN,JA).iso"
"SoulCalibur IV (Taiwan) (EN,JA)",BCAS20048,PS3,NTSC-A,"EN,JA",SoulCalibur IV,2008,7,29,"SoulCalibur IV (Taiwan) (EN,JA).iso"
"Vampire Rain : Altered Species (Taiwan) (EN,JA)",BCAS20049,PS3,NTSC-A,"EN,JA",Vampire Rain : Altered Species,2008,8,21,"Vampire Rain : Altered Species (Taiwan) (EN,JA).iso"
Hakuna Matata (Taiwan) (JA),BCAS20050,PS3,NTSC-A,JA,Hakuna Matata,2008,8,28,Hakuna Matata (Taiwan) (JA).iso
SOCOM: U.S. Navy SEALs Confrontation (Taiwan) (EN),BCAS20051,PS3,NTSC-A,EN,SOCOM: U.S. Navy SEALs Confrontation,2008,11,14,SOCOM: U.S. Navy SEALs Confrontation (Taiwan) (EN).iso
Ratchet &amp; Clank: Quest for Booty (Taiwan) (JA),BCAS20052,PS3,NTSC-A,JA,Ratchet &amp; Clank: Quest for Booty,2008,8,28,Ratchet &amp; Clank: Quest for Booty (Taiwan) (JA).iso
Disgaea 3: Absence of Justice (Taiwan) (EN),BCAS20053,PS3,NTSC-A,EN,Disgaea 3: Absence of Justice,2008,8,28,Disgaea 3: Absence of Justice (Taiwan) (EN).iso
"Aquanaut's Holiday: Kakusareta Kiroku (Taiwan) (JA,KO)",BCAS20054,PS3,NTSC-A,"JA,KO",Aquanaut's Holiday: Kakusareta Kiroku,2008,9,25,"Aquanaut's Holiday: Kakusareta Kiroku (Taiwan) (JA,KO).iso"
Resistance 2 (Taiwan) (EN),BCAS20055,PS3,NTSC-A,EN,Resistance 2,2008,11,13,Resistance 2 (Taiwan) (EN).iso
X Edge (Taiwan) (JA),BCAS20056,PS3,NTSC-A,JA,X Edge,2008,9,25,X Edge (Taiwan) (JA).iso
"Warhawk (PlayStation 3 the Best) (Taiwan) (EN,ZHTW,ZHCN)",BCAS20057,PS3,NTSC-A,"EN,ZHTW,ZHCN",Warhawk (PlayStation 3 the Best),2008,10,2,"Warhawk (PlayStation 3 the Best) (Taiwan) (EN,ZHTW,ZHCN).iso"
"LittleBigPlanet (Taiwan) (EN,ZHTW)",BCAS20058,PS3,NTSC-A,"EN,ZHTW",LittleBigPlanet,2008,10,30,"LittleBigPlanet (Taiwan) (EN,ZHTW).iso"
"The Elder Scrolls IV: Oblivion (Game of the Year Edition) (Taiwan) (EN,ZHCN)",BCAS20059,PS3,NTSC-A,"EN,ZHCN",The Elder Scrolls IV: Oblivion (Game of the Year Edition),2008,10,2,"The Elder Scrolls IV: Oblivion (Game of the Year Edition) (Taiwan) (EN,ZHCN).iso"
NBA 09 The Inside (Taiwan) (EN),BCAS20060,PS3,NTSC-A,EN,NBA 09 The Inside,2008,10,7,NBA 09 The Inside (Taiwan) (EN).iso
Fallout 3 (Taiwan) (JA),BCAS20061,PS3,NTSC-A,JA,Fallout 3,2008,10,31,Fallout 3 (Taiwan) (JA).iso
"Hakuna Matata (Taiwan) (EN,ZHTW)",BCAS20062,PS3,NTSC-A,"EN,ZHTW",Hakuna Matata,2008,12,11,"Hakuna Matata (Taiwan) (EN,ZHTW).iso"
Samurai Dou 3 (Taiwan) (JA),BCAS20063,PS3,NTSC-A,JA,Samurai Dou 3,2008,11,13,Samurai Dou 3 (Taiwan) (JA).iso
