title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group,package_name,package_rap
NPEB02365,A.O.T. - Custom Set 'Summer Festival',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1COSTUMESET000_bg_1_cd40421a5cf2183d66ef62dbac0975ef6fbf347b.pkg,EP4108-NPEB02365_00-AT1COSTUMESET000,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1COSTUMESET000_bg_1_cd40421a5cf2183d66ef62dbac0975ef6fbf347b.pkg,
NPEB02365,A.O.T. - Mikasa Costume 'Summer Festival',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1COSTUME000005_bg_1_3a9b1ffdb5a6c265ff2aae56d6dedbe3dcec73ea.pkg,EP4108-NPEB02365_00-AT1COSTUME000005,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1COSTUME000005_bg_1_3a9b1ffdb5a6c265ff2aae56d6dedbe3dcec73ea.pkg,
NPEB02365,A.O.T. - Weapon of 'Christmas',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1WEAPON0000003_bg_1_a11459a7574752ccc8922be655e2210e23b5b5b6.pkg,EP4108-NPEB02365_00-AT1WEAPON0000003,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1WEAPON0000003_bg_1_a11459a7574752ccc8922be655e2210e23b5b5b6.pkg,
NPEB02365,A.O.T. - Weapon of 'Halloween',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1WEAPON0000002_bg_1_64d01441b4c13d2bc578682cc0744e6ad6b11419.pkg,EP4108-NPEB02365_00-AT1WEAPON0000002,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1WEAPON0000002_bg_1_64d01441b4c13d2bc578682cc0744e6ad6b11419.pkg,
NPEB02365,A.O.T. - Weapon of 'Japanese New Year',COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP4108/NPEB02365_00/EP4108-NPEB02365_00-AT1WEAPON0000000_bg_1_6c9664725802d92ea3db5507bddc6dcd7cd8aea4.pkg,EP4108-NPEB02365_00-AT1WEAPON0000000,YES,PS3,PSN,DLC,,,EP4108-NPEB02365_00-AT1WEAPON0000000_bg_1_6c9664725802d92ea3db5507bddc6dcd7cd8aea4.pkg,
NPEB01910,Abyss Odyssey Unlock Key,COLLECTION,EU,http://zeus.dl.playstation.net/cdn/EP0005/NPEB01910_00/KpdjSnxfnpfDOjDwhKfhQbZsWmzLxLkuqmCNywgYDOinYYxcRQLQFMuKiBDfYZdu.pkg,EP0005-NPEB01910_00,YES,PS3,PSN,DLC,,,KpdjSnxfnpfDOjDwhKfhQbZsWmzLxLkuqmCNywgYDOinYYxcRQLQFMuKiBDfYZdu.pkg,
NPUB31397,Abyss Odyssey™ Full Game Unlock,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP0005/NPUB31397_00/sepYteIGLCmHSlGuIONDTxDlKqFPxHPMLGPcCXYLyhatEtBqwVQIflgULHEjMOSp.pkg,UP0005-NPUB31397_00,YES,PS3,PSN,DLC,,,sepYteIGLCmHSlGuIONDTxDlKqFPxHPMLGPcCXYLyhatEtBqwVQIflgULHEjMOSp.pkg,
BLJS10203,"Accessory ""Stethoscope""",COLLECTION,JP,http://zeus.dl.playstation.net/cdn/JP0367/BLJS10203_00/QdysANVmOsJSNyAmLDqkGSWPSUNFmnKRyaNflUEldsAKuqBzXXRvKdQWuGlilUIoungXEjFtnWDvxvDcopIVADvSCtOVRzMWXgUdL.pkg,JP0367-BLJS10203_00,YES,PS3,PSN,DLC,,,QdysANVmOsJSNyAmLDqkGSWPSUNFmnKRyaNflUEldsAKuqBzXXRvKdQWuGlilUIoungXEjFtnWDvxvDcopIVADvSCtOVRzMWXgUdL.pkg,
BLUS30050,According To You,COLLECTION,US,http://zeus.dl.playstation.net/cdn/UP0006/BLUS30050_00/RHDpkMY3gnxs4L5CsjheIHR362gLekSFKr2Hya8UpbuaesHJdVcENHjAlBQFnH1d7CXFX35ox05gGID8blVA8xUdVMeUkNocsq8pP.pkg,UP0006-BLUS30050_00,YES,PS3,PSN,DLC,,,RHDpkMY3gnxs4L5CsjheIHR362gLekSFKr2Hya8UpbuaesHJdVcENHjAlBQFnH1d7CXFX35ox05gGID8blVA8xUdVMeUkNocsq8pP.pkg,
BLES01393,Ace Combat - Assault Horizon - Compatibility Pack 1,COLLECTION,EU,http://ares.dl.playstation.net/cdn/EP0700/BLES01393_00/ssDxygIPAvnWhtijZaVAMSIVwGFKFEYBhVAyhJeIrRDQVezSnXlbCSlusPuQinuD.pkg,EP0700-BLES01393_00,YES,PS3,PSN,DLC,,,ssDxygIPAvnWhtijZaVAMSIVwGFKFEYBhVAyhJeIrRDQVezSnXlbCSlusPuQinuD.pkg,
BLUS30613,Ace Combat - Assault Horizon - Compatibility Pack 1,COLLECTION,US,http://ares.dl.playstation.net/cdn/UP0700/BLUS30613_00/ntdzDXRccfvhVyCcwkymtVQNmNSRuozQjRwHcNVkAITfWHqbOPJFRZpmdpPVUKRWsGySWfUzAhBcfLytohzSIqmkZYcGZFmvOYvYy.pkg,UP0700-BLUS30613_00,YES,PS3,PSN,DLC,,,ntdzDXRccfvhVyCcwkymtVQNmNSRuozQjRwHcNVkAITfWHqbOPJFRZpmdpPVUKRWsGySWfUzAhBcfLytohzSIqmkZYcGZFmvOYvYy.pkg,
