title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,"Resident Evil 5 ~ Biohazard 5 (Asia) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Metal Gear Solid 4 - Guns of the Patriots (Japan) (v01.03) (FW2.20),,,,,,DISC,BASE_GAME
,"Beatles, The - Rock Band (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Band Hero (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Atelier Ayesha (Asia),,,,,,DISC,BASE_GAME
,"Heavy Rain (Asia) (En,Zh,Ko)",,,,,,DISC,BASE_GAME
,"One Piece - Kaizoku Musou (Japan, Asia)",,,,,,DISC,BASE_GAME
,Earth Defense Force - Insect Armageddon (Japan),,,,,,DISC,BASE_GAME
,"Attouteki Yuugi - Mugen Souls (Japan, Asia)",,,,,,DISC,BASE_GAME
,Samurai Dou 3 Plus (Japan),,,,,,DISC,BASE_GAME
,"Tekken Tag Tournament 2 (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko,Ru)",,,,,,DISC,BASE_GAME
,Gekijouban Macross F - Itsuwari no Uta-hime - Hybrid Pack (Japan),,,,,,DISC,BASE_GAME
,"Kami Jigen Game Neptune V (Japan, Asia)",,,,,,DISC,BASE_GAME
,"Sengoku Musou 3 - Empires (Japan, Asia)",,,,,,DISC,BASE_GAME
,"Dragon's Dogma (Japan) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Hokuto Musou International (Japan, Asia)",,,,,,DISC,BASE_GAME
,"Dragon's Dogma (USA, Asia) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Ridge Racer 7 (Asia) (En,Ja)",,,,,,DISC,BASE_GAME
,"Darksiders II (Asia) (En,Fr)",,,,,,DISC,BASE_GAME
,Shirokishi Monogatari - Hikari to Yami no Kakusei (Japan),,,,,,DISC,BASE_GAME
,"Sleeping Dogs (USA, Asia) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Gundam Musou (Japan),,,,,,DISC,BASE_GAME
,Shin Sangoku Musou 5 (Japan),,,,,,DISC,BASE_GAME
,"Sly Collection, The (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Initial D - Extreme Stage (Asia),,,,,,DISC,BASE_GAME
,"Kidou Senshi Gundam Senki (Japan, Asia)",,,,,,DISC,BASE_GAME
,"Dragon's Dogma (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Resident Evil 6 (Germany) (En,Fr,De,Es,It,Pt,Pl,Ru)",,,,,,DISC,BASE_GAME
,"L.A. Noire - The Complete Edition (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Catherine (USA),,,,,,DISC,BASE_GAME
,"Final Fantasy XIII-2 (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"No More Heroes - Heroes' Paradise (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Ratchet & Clank - All 4 One (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Soulcalibur V (USA) (En,Ja,Fr,De,Es,It,Ru)",,,,,,DISC,BASE_GAME
,3D Dot Game Heroes (USA),,,,,,DISC,BASE_GAME
,Journey Collector's Edition (USA),,,,,,DISC,BASE_GAME
,"LittleBigPlanet (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v01.00)",,,,,,DISC,BASE_GAME
,"Asura's Wrath (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Call of Duty 4 - Modern Warfare (Europe),,,,,,DISC,BASE_GAME
,"Mortal Kombat (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,BASE_GAME
,"Mortal Kombat - Komplete Edition (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,BASE_GAME
,"Virtua Fighter 5 (Europe) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Assassin's Creed (Europe) (En,Fr,De,Es,It) (FW1.94)",,,,,,DISC,BASE_GAME
,"Killzone 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru)",,,,,,DISC,BASE_GAME
,"Gran Turismo 5 (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Pl,Ru,El,Tr) (v03.00)",,,,,,DISC,BASE_GAME
,"Super Street Fighter IV - Arcade Edition (Europe) (En,Ja,Fr,De,Es,It,Ko)",,,,,,DISC,BASE_GAME
,"Street Fighter IV (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Gran Turismo 5 (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Pl,Ru,El,Tr) (v04.00)",,,,,,DISC,BASE_GAME
,Call of Duty - Modern Warfare 2 (Europe),,,,,,DISC,BASE_GAME
,"Binary Domain (USA, Asia) (En,Ja)",,,,,,DISC,BASE_GAME
,"BlazBlue - Continuum Shift Extend (USA) (En,Ja,Zh,Ko)",,,,,,DISC,BASE_GAME
,"LEGO Harry Potter - Years 1-4 (USA) (En,Fr,De,Es,It,Da) (v01.01)",,,,,,DISC,BASE_GAME
,Guitar Hero III - Legends of Rock (USA),,,,,,DISC,BASE_GAME
,"LittleBigPlanet (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi) (v01.00)",,,,,,DISC,BASE_GAME
,"LEGO Star Wars III - The Clone Wars (USA) (En,Fr,Es) (v01.00)",,,,,,DISC,BASE_GAME
,"LEGO Indiana Jones 2 - The Adventure Continues (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Castlevania - Lords of Shadow (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Dead or Alive 5 (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Fight, The - Lights Out (USA) (En,Fr,Es,Pt)",,,,,,DISC,BASE_GAME
,"Gran Turismo 5 (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Pl,Ru,El,Tr) (v01.02)",,,,,,DISC,BASE_GAME
,"FIFA 10 (Europe, Asia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Pl,Ru,Cs,Hu)",,,,,,DISC,BASE_GAME
,FIFA 08 (UK),,,,,,DISC,BASE_GAME
,"PES 2009 - Pro Evolution Soccer (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,BASE_GAME
,"Dynasty Warriors 6 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Dynasty Warriors 6 - Empires (Europe) (En,Fr,De)",,,,,,DISC,BASE_GAME
,"PES 2008 - Pro Evolution Soccer (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,BASE_GAME
,"EyePet (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru)",,,,,,DISC,BASE_GAME
,"Dynasty Warriors - Gundam (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Pain (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Folklore (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Sega Superstars Tennis (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Spider-Man - Shattered Dimensions (USA) (En,Fr)",,,,,,DISC,BASE_GAME
,"Batman - Arkham Asylum - Game of the Year Edition (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Genji - Days of the Blade (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",,,,,,DISC,BASE_GAME
,"MX vs. ATV Reflex (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Mobile Suit Gundam - Target in Sight (Europe) (En,Ja)",,,,,,DISC,BASE_GAME
,"NBA 2K7 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Haze (Europe) (En,Fr,Es,It)",,,,,,DISC,BASE_GAME
,"House of the Dead, The - Overkill - Extended Cut (Europe) (En,Fr,Es,It)",,,,,,DISC,BASE_GAME
,"Resistance - Fall of Man (Europe, Australia) (En,Ja,Fr,De,Es,It,Nl,Pt,Ko)",,,,,,DISC,BASE_GAME
