game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
Batman - Arkham City (USA),01432,,Batman - Arkham City (USA),UP1018-NPUB30754_00-ARKHAMCITY00GAME,bOygKLXyHxyFXitRoCHKiTelnFuDIlVvEUyfPJZmXwRAqhOadEsbhDGeAgfHzCKYfLpiEbATPQVAXFJscAnhvtKjisaJyiKbmpvJt.pkg,8076771088,8370a1e8,83c8060a779c5d3d6588d66fb3e6b2d5,911b71e479c02839818599fb558f958e8de7152f,
Batman - Arkham City (USA),01432,,Batman - Arkham City (USA),UP1018-NPUB30754_00-ARKHAMCITY00GAME,UP1018-NPUB30754_00-ARKHAMCITY00GAME.rap,16,e4aa7430,9a591990d599791fb8b1b30f884912d3,ca4f306650eb704e4bb1def07d89ef0f4cc2d198,
Batman - Arkham City (USA) (Demo),01433,,Batman - Arkham City (USA) (Demo),UP1018-NPUB90747_00-ARKHAMCITYDEMO01,mpOJSRMxyXIExBQGSEhBEmlrxnPUqSTWrJYAhSePoFPhkPLoLDHBDxIKJdjBtiKcmIGsJhtBVCCOKGKnMVbiQmvyKGRoZzwnsYAUx.pkg,1408846608,7c998b12,00de3060dfba14a44564214e3af3b7cf,5326a93bbada6c770c57d537912a0e8a3b874f79,
Batman - Arkham Origins (USA),01452,,Batman - Arkham Origins (USA),UP1018-NPUB31261_00-BATMANARKHAMORIG,mXBFfMEiUUJbaYZtbpJlgzowceBTUuwDeuSMzxeNUBbFCzhBLYSZfbVWytQgVZla.pkg,15124506976,52be9b35,21c9121722fb76fb946bb9a9e7ed6b06,b1b2c1f09e54707f2aa36fc9d308812e7e20459a,
Batman - Arkham Origins (USA),01452,,Batman - Arkham Origins (USA),UP1018-NPUB31261_00-BATMANARKHAMORIG,UP1018-NPUB31261_00-BATMANARKHAMORIG.rap,16,a8d57c6e,a421077e0e2e0a449f100780283d9e29,3c859d3d6e1883b2f1eb471b271807f88091400a,
Batman - Arkham Origins (Europe),28876,,Batman - Arkham Origins (Europe),EP1018-NPEB01414_00-BATMANORIGINS001,EP1018-NPEB01414_00-BATMANORIGINS001.rap,16,387bbdf7,b052156c4c6a5e5b388c08f07a58b8a6,a1e7778f91cc835ae6e453390820551ef144445b,
Batman - Arkham Origins (Europe),28876,,Batman - Arkham Origins (Europe),EP1018-NPEB01414_00-BATMANORIGINS001,OmyVmsLhSkcJEZlLcSDGIwwawjOIbVZoceKwbhcDSvTuifEyvoHJSSRGRhdwFrlFnBLuwVHARTqXizbUQLIntJMyzabVEGnzsmviE.pkg,15124223856,fcb67663,882d7b1d5f24f24f8f59fcd927507b19,67ada0e8b78bf251b2180cdaedab6120e8728369,
Batman - Arkham Origins (Japan),35747,Games,Batman - Arkham Origins (Japan),JP0012-NPJB00461_00-BATMANARKHAMORIG,TigsSRAGbAUQXTsJMkjgdcKyJZktJtKAryulCOuPPdyNQBTIiGZWAmZLRWZzwTfGHlwkTYLpvngSMVjgpIlYmOOWvwKIqlRmwAHEP.pkg,11399379968,1bb91677,272975e580cf4542cf4a34833675c5fd,2984b167bb61d596f7ebb7b49d840930c2cec902,cd6e47d0436f8e106beeee2018ed572ec5fddfe15a0adc6c9579d57589782486
Batman - Arkham Origins (Japan),35747,Games,Batman - Arkham Origins (Japan),JP0012-NPJB00461_00-BATMANARKHAMORIG,JP0012-NPJB00461_00-BATMANARKHAMORIG.rap,16,d82e9fbd,f994054bd36e4d104554b9c6ab108a74,0aa362eb9d00c9edd715c4c8571ce836ca02e8a2,63da84615446c11498e50419e31ed5fc0ed7dc9fba926fd7f2f902bd9a2198d4
Batman - Arkham Origins - Blackgate (Europe) (Trial),01464,,Batman - Arkham Origins - Blackgate (Europe) (Trial),EP1018-NPEB01968_00-CONSOLEBLACKGATE,bdRyylCusPMcJyblQNsuiLQGdlonObGVwDDgQBSDQyTxSLXeUewsnGBoRPGvIHbUqAQxkgXHPdDjphWNraeyUETwQYzgNCumVjVgI.pkg,2208178064,8a25f3c8,c46eaa5780c4e8e5b7fb8218461b0f6d,13c64ae9cfc192be21ccdd63ddbe46cb0449875c,
